station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,12/1/2018 4:25,-72.6825,41.9381,,,,260,3,,30.13,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010925Z AUTO 26003KT 10SM CLR M02/M03 A3012 RMK T10201030 MADISHF
BDL,12/1/2018 4:30,-72.6825,41.9381,,,,260,4,,30.13,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010930Z AUTO 26004KT 10SM CLR M02/M03 A3012 RMK T10201030 MADISHF
BDL,12/1/2018 4:35,-72.6825,41.9381,,,,270,4,,30.13,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010935Z AUTO 27004KT 10SM CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 4:40,-72.6825,41.9381,,,,260,5,,30.14,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010940Z AUTO 26005KT 10SM CLR M04/M04 A3013 RMK T10401040 MADISHF
BDL,12/1/2018 4:45,-72.6825,41.9381,,,,260,6,,30.14,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010945Z AUTO 26006KT 10SM CLR M04/M04 A3013 RMK T10401040 MADISHF
BDL,12/1/2018 4:50,-72.6825,41.9381,,,,270,5,,30.14,,10,,CLR,,,,,,,,,,,,,,,,KBDL 010950Z AUTO 27005KT 10SM CLR M04/M04 A3013 RMK T10401040 MADISHF
BDL,12/1/2018 4:51,-72.6825,41.9381,25,25,100,270,5,0,30.14,1020.9,10,,CLR,,,,,,,,,0.0001,,,,,,18.08,KBDL 010951Z 27005KT 10SM CLR M04/M04 A3014 RMK AO2 SLP209 I1000 T10391039
BDL,12/1/2018 5:00,-72.6825,41.9381,,,,300,3,,30.14,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011000Z AUTO 30003KT 10SM CLR M03/M04 A3013 RMK T10301040 MADISHF
BDL,12/1/2018 5:05,-72.6825,41.9381,,,,280,3,,30.15,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011005Z AUTO 28003KT 10SM CLR M03/M04 A3014 RMK T10301040 MADISHF
BDL,12/1/2018 5:10,-72.6825,41.9381,,,,290,4,,30.16,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011010Z AUTO 29004KT 10SM CLR M04/M04 A3015 RMK T10401040 MADISHF
BDL,12/1/2018 5:15,-72.6825,41.9381,,,,310,5,,30.15,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011015Z AUTO 31005KT 10SM CLR M04/M04 A3014 RMK T10401040 MADISHF
BDL,12/1/2018 5:20,-72.6825,41.9381,,,,300,7,,30.16,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011020Z AUTO 30007KT 10SM CLR M03/M04 A3015 RMK T10301040 MADISHF
BDL,12/1/2018 5:25,-72.6825,41.9381,,,,290,6,,30.16,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011025Z AUTO 29006KT 10SM CLR M03/M04 A3015 RMK T10301040 MADISHF
BDL,12/1/2018 5:30,-72.6825,41.9381,,,,290,6,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011030Z AUTO 29006KT 10SM CLR M03/M03 A3017 RMK T10301030 MADISHF
BDL,12/1/2018 5:35,-72.6825,41.9381,,,,310,6,,30.16,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011035Z AUTO 31006KT 10SM CLR M03/M04 A3015 RMK T10301040 MADISHF
BDL,12/1/2018 5:40,-72.6825,41.9381,,,,320,5,,30.16,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011040Z AUTO 32005KT 10SM CLR M03/M03 A3015 RMK T10301030 MADISHF
BDL,12/1/2018 5:45,-72.6825,41.9381,,,,300,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011045Z AUTO 30004KT 10SM CLR M04/M04 A3017 RMK T10401040 MADISHF
BDL,12/1/2018 5:50,-72.6825,41.9381,,,,320,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011050Z AUTO 32004KT 10SM CLR M04/M04 A3017 RMK T10401040 MADISHF
BDL,12/1/2018 5:51,-72.6825,41.9381,26.1,25,95.53,320,4,0,30.17,1021.7,10,,CLR,,,,,,,,,0.0001,,,,,,20.53,KBDL 011051Z 32004KT 10SM CLR M03/M04 A3017 RMK AO2 SLP217 I1000 T10331039
BDL,12/1/2018 5:55,-72.6825,41.9381,,,,300,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011055Z AUTO 30004KT 10SM CLR M03/M03 A3017 RMK T10301030 MADISHF
